file_name,bank_Bank Name,bank_Branch Name,bank_Banker Name,bank_Date (MM/DD/YYYY),bank_Banker Phone,bank_Branch Number,bank_Banker AU,bank_Banker MAC,bank_Enterprise Customer Number (ECN),bank_Account Number,legal_Full Legal Entity Name,legal_Street Address,legal_City,legal_State,legal_ZIP/Postal Code,owner1_Full Legal Name,owner1_Date of Birth (MM/DD/YYYY),owner1_Street Address,owner1_City,owner1_State,owner1_ZIP/Postal Code,owner1_Country,owner1_TIN Number,owner1_Primary ID Type,owner1_Enterprise Customer Number (ECN) (For Bank Use Only),owner2_Full Legal Name,owner2_Date of Birth (MM/DD/YYYY),owner2_Street Address,owner2_City,owner2_State,owner2_ZIP/Postal Code,owner2_Country,owner2_TIN Number,owner2_Primary ID Type,owner2_Enterprise Customer Number (ECN) (For Bank Use Only),owner3_Full Legal Name,owner3_Date of Birth (MM/DD/YYYY),owner3_Street Address,owner3_City,owner3_State,owner3_ZIP/Postal Code,owner3_Country,owner3_TIN Number,owner3_Primary ID Type,owner3_Enterprise Customer Number (ECN) (For Bank Use Only),owner4_Full Legal Name,owner4_Date of Birth (MM/DD/YYYY),owner4_Street Address,owner4_City,owner4_State,owner4_ZIP/Postal Code,owner4_Country,owner4_TIN Number,owner4_Primary ID Type,owner4_Enterprise Customer Number (ECN) (For Bank Use Only),control_Full Legal Name of Individual with Control,control_Date of Birth (MM/DD/YYYY),control_Street Address,control_City,control_State,control_ZIP/Postal Code,control_Country,control_TIN Number,control_Enterprise Customer Number (ECN) (For Bank Use Only)
file10,Wells River Bank,Sunset Plaza,Daniel Rodriguez,03/16/2024,(555) 338-1298,5021,DRODRIGUEZ,WX87KL09,ECN128930,87651093745,BCD Inc,654 Hickory St,Austin,TX,78701,Emily Johnson,03-03-1970,789 Oak St,Chicago,IL,60601,USA,777-88-9999,SSN,456123789,Sarah Williams,04-04-1985,321 Maple St,Houston,TX,77001,USA,222-33-4444,SSN,321456987,David Brown,05-05-1995,654 Pine St,Philadelphia,PA,19101,USA,555-66-7777,SSN,654123789,James Jones,06-06-1975,987 Cedar St,Phoenix,AZ,85001,USA,888-99-0000,SSN,987456321,Daniel Moore,11-11-1992,654 Hickory St,Austin,TX,78701,USA,555-66-7777,654321789
file11,Citizens United,Parkview,Sophia Thompson,03/24/2024,(555) 912-6450,8837,STHOMPSON,MN82CD77,ECN334871,10023985471,EFG LLC,987 Walnut St,Jacksonville,FL,32201,Mary Davis,07-07-1987,321 Birch St,San Antonio,TX,78201,USA,111-22-3333,SSN,321654987,Robert Miller,08-08-1997,654 Willow St,Dallas,TX,75201,USA,444-55-6666,SSN,654987321,Michael Garcia,09-09-1972,987 Magnolia St,San Diego,CA,92101,USA,777-88-9999,SSN,987321456,Susan Wilson,10-10-1982,321 Cherry St,San Jose,CA,95101,USA,222-33-4444,SSN,321789456,Lisa Taylor,12-12-1973,987 Walnut St,Jacksonville,FL,32201,USA,888-99-0000,987654123
file12,Redwood Financial,Central Square,Alexander Wilson,03-09-2024,(555) 403-2987,2942,AWILSON,IJ88OP79,ECN837234,93948572930,HIJ Partners,321 Chestnut St,Fort Worth,TX,76101,Daniel Moore,11-11-1992,654 Hickory St,Austin,TX,78701,USA,555-66-7777,SSN,654321789,Lisa Taylor,12-12-1973,987 Walnut St,Jacksonville,FL,32201,USA,888-99-0000,SSN,987654123,Betty Clark,01-01-1984,321 Chestnut St,Fort Worth,TX,76101,USA,111-22-3333,SSN,321456789,Sandra White,02-02-1994,654 Ash St,Columbus,OH,43201,USA,444-55-6666,SSN,654987321,Betty Clark,01-01-1984,321 Chestnut St,Fort Worth,TX,76101,USA,111-22-3333,321456789
file13,First United Savings,Oakwood,Isabella Garcia,03-12-2024,(555) 398-9163,4523,IGARCIA,EF54GH01,ECN443221,12930047573,KLM Holdings,654 Ash St,Columbus,OH,43201,Patricia Johnson,03-03-1975,987 Sycamore St,Charlotte,NC,28201,USA,777-88-9999,SSN,987321456,Debra Brown,04-04-1986,321 Poplar St,Indianapolis,IN,46201,USA,222-33-4444,SSN,321789456,Mark Davis,05-05-1996,654 Maple St,San Francisco,CA,94101,USA,555-66-7777,SSN,654321789,Ronald Miller,06-06-1977,987 Oak St,Boston,MA,2101,USA,888-99-0000,SSN,987654123,Sandra White,02-02-1994,654 Ash St,Columbus,OH,43201,USA,444-55-6666,654987321
file14,Lakeside Community Bank,Riverfront,Noah Martinez,03/26/2024,(555) 884-0294,6638,NMARTINEZ,AB81CD03,ECN232138,57209918274,NOP Investments,987 Sycamore St,Charlotte,NC,28201,Angela Williams,07-07-1988,321 Elm St,Seattle,WA,98101,USA,111-22-3333,SSN,321456789,Brenda Thompson,08-08-1998,654 Pine St,Denver,CO,80201,USA,444-55-6666,SSN,654987321,Pamela Johnson,09-09-1979,987 Oak St,Chicago,IL,60601,USA,777-88-9999,SSN,456123789,Laura Wilson,10-10-1984,321 Maple St,Houston,TX,77001,USA,222-33-4444,SSN,321456987,Patricia Johnson,03-03-1975,987 Sycamore St,Charlotte,NC,28201,USA,777-88-9999,987321456
file15,Golden Gate Credit Union,Midtown Center,Chloe Patel,03/30/2024,(555) 628-3319,9921,CPATEL,QR33ST20,ECN238905,29385729302,QRS Solutions,321 Poplar St,Indianapolis,IN,46201,Emily Johnson,03-03-1970,789 Oak St,Chicago,IL,60601,USA,777-88-9999,SSN,456123789,Sarah Williams,04-04-1985,321 Maple St,Houston,TX,77001,USA,222-33-4444,SSN,321456987,David Brown,05-05-1995,654 Pine St,Philadelphia,PA,19101,USA,555-66-7777,SSN,654123789,James Jones,06-06-1975,987 Cedar St,Phoenix,AZ,85001,USA,888-99-0000,SSN,987456321,Debra Brown,04-04-1986,321 Poplar St,Indianapolis,IN,46201,USA,222-33-4444,321789456
file16,Pacific Coast Bank,Harborview Heights,Benjamin Carter,03-01-2024,(555) 920-5542,1204,BCARTER,KL43MN71,ECN566783,83928476163,TUV Technologies,654 Maple St,San Francisco,CA,94101,Mary Davis,07-07-1987,321 Birch St,San Antonio,TX,78201,USA,111-22-3333,SSN,321654987,Robert Miller,08-08-1997,654 Willow St,Dallas,TX,75201,USA,444-55-6666,SSN,654987321,Michael Garcia,09-09-1972,987 Magnolia St,San Diego,CA,92101,USA,777-88-9999,SSN,987321456,Susan Wilson,10-10-1982,321 Cherry St,San Jose,CA,95101,USA,222-33-4444,SSN,321789456,Mark Davis,05-05-1996,654 Maple St,San Francisco,CA,94101,USA,555-66-7777,654321789
file17,Horizon Trust,Evergreen Park,Emily Johnson,03/18/2024,(555) 224-3850,3625,EJOHNSON,WX22KL40,ECN103847,28394758690,WXY Inc,987 Oak St,Boston,MA,2101,Daniel Moore,11-11-1992,654 Hickory St,Austin,TX,78701,USA,555-66-7777,SSN,654321789,Lisa Taylor,12-12-1973,987 Walnut St,Jacksonville,FL,32201,USA,888-99-0000,SSN,987654123,Betty Clark,01-01-1984,321 Chestnut St,Fort Worth,TX,76101,USA,111-22-3333,SSN,321456789,Sandra White,02-02-1994,654 Ash St,Columbus,OH,43201,USA,444-55-6666,SSN,654987321,Ronald Miller,06-06-1977,987 Oak St,Boston,MA,2101,USA,888-99-0000,987654123
file18,Coastal Community Bank,Bayside,Samuel Lee,03/21/2024,(555) 448-0292,7533,SLEE,UV97WX99,ECN889201,91028567292,XYZ Enterprises,321 Elm St,Seattle,WA,98101,Patricia Johnson,03-03-1975,987 Sycamore St,Charlotte,NC,28201,USA,777-88-9999,SSN,987321456,Debra Brown,04-04-1986,321 Poplar St,Indianapolis,IN,46201,USA,222-33-4444,SSN,321789456,Mark Davis,05-05-1996,654 Maple St,San Francisco,CA,94101,USA,555-66-7777,SSN,654321789,Ronald Miller,06-06-1977,987 Oak St,Boston,MA,2101,USA,888-99-0000,SSN,987654123,Angela Williams,07-07-1988,321 Elm St,Seattle,WA,98101,USA,111-22-3333,321456789
file19,United American Bank,Uptown Square,Hannah Davis,03-05-2024,(555) 283-2949,5920,HDAVIS,MN09CD45,ECN112984,10039385729,LMN Holdings,654 Pine St,Denver,CO,80201,Angela Williams,07-07-1988,321 Elm St,Seattle,WA,98101,USA,111-22-3333,SSN,321456789,Brenda Thompson,08-08-1998,654 Pine St,Denver,CO,80201,USA,444-55-6666,SSN,654987321,Pamela Johnson,09-09-1979,987 Oak St,Chicago,IL,60601,USA,777-88-9999,SSN,456123789,Laura Wilson,10-10-1984,321 Maple St,Houston,TX,77001,USA,222-33-4444,SSN,321456987,Brenda Thompson,08-08-1998,654 Pine St,Denver,CO,80201,USA,444-55-6666,654987321
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handwritten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Capital Trust,Midtown Branch,John Miller,03/30/2024,(555) 567-8901,2202,JMILLER,EF56GH78,ECN00005678,23456789012,XYZ Inc,456 Elm St,Los Angeles,CA,90001,David Brown,05-05-1995,654 Pine St,Philadelphia,PA,19101,USA,555-66-7777,SSN,654123789,James Jones,06-06-1975,987 Cedar St,Phoenix,AZ,85001,USA,888-99-0000,SSN,987456321,Mary Davis,07-07-1987,321 Birch St,San Antonio,TX,78201,USA,111-22-3333,SSN,321654987,Robert Miller,08-08-1997,654 Willow St,Dallas,TX,75201,USA,444-55-6666,SSN,654987321,Jane Smith,10-10-1984,456 Elm St,Los Angeles,CA,90001,USA,444-55-6666,987654321
11,First Regional Bank,Lakeside,Michael Lee,03/31/2024,(555) 234-5678,4404,MLEE,MN34OP56,ECN00003456,45678901234,GHI LLC,321 Maple St,Houston,TX,77001,Betty Clark,01-01-1984,321 Chestnut St,Fort Worth,TX,76101,USA,111-22-3333,SSN,321456789,Sandra White,02-02-1994,654 Ash St,Columbus,OH,43201,USA,444-55-6666,SSN,654987321,Patricia Johnson,03-03-1975,987 Sycamore St,Charlotte,NC,28201,USA,777-88-9999,SSN,987321456,Debra Brown,04-04-1986,321 Poplar St,Indianapolis,IN,46201,USA,222-33-4444,SSN,321789456,Sarah Williams,04-04-1985,321 Maple St,Houston,TX,77001,USA,222-33-4444,321456987
12,Global Union Bank,Central City,Sarah Wilson,03/29/2024,(555) 123-4567,1101,SWILSON,AB12CD34,ECN00001234,12345678901,ABC Corporation,123 Main St,New York,NY,10001,John Doe,01-01-1980,123 Main St,New York,NY,10001,USA,111-22-3333,SSN,123456789,,,,,,,,,,,Michael Johnson,03-03-1970,789 Oak St,Chicago,IL,60601,USA,777-88-9999,SSN,456123789,,,,,,,,,,,John Doe,09-09-1979,123 Main St,New York,NY,10001,USA,111-22-3333,123456789
13,United World Bank,Eastside Financial,Emily Parker,03/22/2024,(555) 901-2345,3303,EPARKER,IJ90KL12,ECN00009012,34567890123,DEF Enterprises,789 Oak St,Chicago,IL,60601,Michael Garcia,09-09-1972,987 Magnolia St,San Diego,CA,92101,USA,777-88-9999,SSN,987321456,,,,,,,,,,,,,,,,,,,,,Lisa Taylor,12-12-1973,987 Walnut St,Jacksonville,FL,32201,USA,888-99-0000,SSN,987654123,Michael Johnson,03-03-1970,789 Oak St,Chicago,IL,60601,USA,777-88-9999,456123789
14,National Commerce Bank,West End,Olivia Davis,03/28/2024,(555) 345-6789,5505,ODAVIS,QR78ST90,ECN00007890,56789012345,JKL Partners,654 Pine St,Philadelphia,PA,19101,Mark Davis,05-05-1996,654 Maple St,San Francisco,CA,94101,USA,555-66-7777,SSN,654321789,Ronald Miller,06-06-1977,987 Oak St,Boston,MA,2101,USA,888-99-0000,SSN,987654123,Angela Williams,07-07-1988,321 Elm St,Seattle,WA,98101,USA,111-22-3333,SSN,321456789,Brenda Thompson,08-08-1998,654 Pine St,Denver,CO,80201,USA,444-55-6666,SSN,654987321,David Brown,05-05-1995,654 Pine St,Philadelphia,PA,19101,USA,555-66-7777,654123789
